id,name,surname,login,age,city
1941,Thomas,King,Thomas_King###BXH,69,Port Coquitlam
1942,Debra,Griggs,Debra_Griggs###VGR,57,West Vancouver
1943,Aaron,Greenblatt,Aaron_Greenblatt###UJB,33,New Westminister
1944,Leslie,Perkins,Leslie_Perkins###KFV,47,Victoria
1945,Frances,Mason,Frances_Mason###GYC,15,Surrey
1946,Daniel,Kistler,Daniel_Kistler###BFC,32,Vancouver
1947,Jorge,Blanton,Jorge_Blanton###PYF,47,Ucluelet
1948,Harry,Baumgardner,Harry_Baumgardner###DSN,30,Merritt
1949,Alexander,Gephart,Alexander_Gephart###WFR,42,Richmond
1950,Hortensia,Walker,Hortensia_Walker###KLB,33,Kelowna
1951,Travis,Page,Travis_Page###VUU,33,Kelowna
1952,Tara,Crews,Tara_Crews###CDV,57,Duncan
1953,Gladys,Hubbard,Gladys_Hubbard###QSP,34,Surrey
1954,Regina,Johnson,Regina_Johnson###ARY,35,Prince George
1955,John,Sakai,John_Sakai###YFR,51,Victoria
1956,Elijah,Mitchell,Elijah_Mitchell###JBH,43,Victoria
1957,Aisha,Aleman,Aisha_Aleman###GXH,51,Fraser Lake
1958,Janie,Richardson,Janie_Richardson###MAT,52,Vancouver
1959,Lynn,Lange,Lynn_Lange###NJH,28,Powell River
1960,Angela,Pickle,Angela_Pickle###WIN,52,Penticton
1961,Clifford,Goodlett,Clifford_Goodlett###IJW,56,Vancouver
1962,John,Broaddus,John_Broaddus###MAN,30,Kaslo
1963,Thomas,Finnell,Thomas_Finnell###EKH,29,Agassiz
1964,Bill,Davis,Bill_Davis###XII,51,New Westminster
1965,Logan,Owens,Logan_Owens###VNS,48,North Vancouver
1966,Warren,Turley,Warren_Turley###IBE,43,Vernon
1967,Patricia,Heath,Patricia_Heath###EII,31,Cobble Hill
1968,Scott,Hunt,Scott_Hunt###LCW,58,Prince George
1969,Jamie,Rust,Jamie_Rust###PML,51,Blue River
1970,Diana,Copeland,Diana_Copeland###YSC,41,Surrey
1971,Dorothy,Carpenter,Dorothy_Carpenter###UXR,27,Port Alberni
1972,Lois,Griffith,Lois_Griffith###AET,38,Vancouver
1973,Charles,Maupin,Charles_Maupin###MIN,43,Vancouver
1974,Angel,Martinez,Angel_Martinez###SYE,38,Fort Fraser
1975,Judith,Cook,Judith_Cook###WBO,35,Fort Langley
1976,Danae,Brown,Danae_Brown###SMM,59,Campbell River
1977,Pete,Price,Pete_Price###GXI,30,Penticton
1978,Arlene,Aldridge,Arlene_Aldridge###JWI,30,Abbotsford
1979,Eldridge,Buck,Eldridge_Buck###QED,20,Whistler
1980,Breann,Tyson,Breann_Tyson###FQJ,40,Vancouver
1981,Anthony,Colon,Anthony_Colon###GJI,51,Surrey
1982,Sarah,Wade,Sarah_Wade###WEN,62,Victoria
1983,Larry,Carver,Larry_Carver###YIL,46,Osoyoos
1984,Nancy,Magee,Nancy_Magee###QDP,52,Genelle
1985,Anna,Lopez,Anna_Lopez###HRH,53,Victoria
1986,Angel,William,Angel_William###TVV,41,Kelowna
1987,Raymond,Jones,Raymond_Jones###XSV,42,Yarrow
1988,Heather,Gonsalves,Heather_Gonsalves###INT,37,Vancouver
1989,Raymond,Hamlin,Raymond_Hamlin###TXQ,53,Lakeview Heights
1990,Donald,Madigan,Donald_Madigan###RAM,31,Penticton
1991,Leonard,Cerna,Leonard_Cerna###WFM,26,Vernon
1992,Tim,Lockett,Tim_Lockett###WKD,42,Vancouver
1993,Simon,Staton,Simon_Staton###QWL,51,Langley
1994,David,Hollis,David_Hollis###LPA,43,Vancouver
1995,Anthony,Perkins,Anthony_Perkins###PAB,40,Burnaby
1996,Ronald,Shelton,Ronald_Shelton###VON,34,Vancouver
1997,Bryant,Yates,Bryant_Yates###RKQ,47,Richmond
1998,Stefanie,Taylor,Stefanie_Taylor###RLY,35,Burnaby
1999,Daniel,Anderson,Daniel_Anderson###MGE,37,Topley
2000,Benjamin,Piercy,Benjamin_Piercy###VDB,30,Chilliwack
2001,Robert,Lovelace,Robert_Lovelace###YAW,35,Coquitlam
2002,Shena,Kimball,Shena_Kimball###SXA,56,Fort Nelson
2003,Jose,Chitwood,Jose_Chitwood###FRL,47,Langley
2004,Katherine,Walker,Katherine_Walker###EDS,42,Duncan
2005,Susan,Frank,Susan_Frank###PSY,48,Nanaimo
2006,Virginia,Howard,Virginia_Howard###GXF,39,Victoria
2007,James,Herrera,James_Herrera###MRF,49,Vancouver
2008,Kira,Jones,Kira_Jones###CGA,44,Burnaby
2009,Henry,Combs,Henry_Combs###GRA,39,Nanaimo
2010,Joseph,Brown,Joseph_Brown###OFO,43,Campbell River
2011,Phyllis,Graham,Phyllis_Graham###RAB,41,Victoria
2012,Donald,Ervin,Donald_Ervin###TKD,43,Vancouver
2013,Virgil,Bennett,Virgil_Bennett###CJR,48,Vancouver
2014,Paul,Nichols,Paul_Nichols###UBR,40,Kamloops
2015,Joyce,Johnson,Joyce_Johnson###CSR,34,Vernon
2016,William,Martin,William_Martin###NNX,32,Abbotsford
2017,Lionel,Ness,Lionel_Ness###SYP,35,Westbank
2018,Marie,Matson,Marie_Matson###NGW,57,Comox
2019,Frank,Carrier,Frank_Carrier###PHJ,42,Port Coquitlam
2020,Edward,Tardif,Edward_Tardif###PUP,34,Vernon
2021,Yolanda,Ricks,Yolanda_Ricks###YTC,39,Kamloops
2022,Michelle,Vickery,Michelle_Vickery###XPU,42,Burnaby
2023,Jennifer,Johnson,Jennifer_Johnson###GYR,38,Kamloops
2024,Pablo,Young,Pablo_Young###JDP,35,Vancouver
2025,Jose,Gragg,Jose_Gragg###REK,58,New Westminster
2026,Gary,Walker,Gary_Walker###XLD,61,Hansard
2027,Walter,Brown,Walter_Brown###NCS,47,Campbell River
2028,Mira,Barile,Mira_Barile###BTU,42,Nanaimo
2029,Heather,Gilbert,Heather_Gilbert###GNF,39,Langley
2030,Cynthia,Putnam,Cynthia_Putnam###KRQ,30,Kitwanga
2031,Elias,Koch,Elias_Koch###SIG,48,Vancouver
2032,Simon,Robertson,Simon_Robertson###NWS,49,Vancouver
2033,Christopher,Harrington,Christopher_Harrington###OQX,50,Sorrento
2034,John,Sanderson,John_Sanderson###TMJ,31,Pemberton
2035,Ryan,Dupree,Ryan_Dupree###BDN,47,Vancouver
2036,Raymond,Jackson,Raymond_Jackson###HBJ,31,Burnaby
2037,Patrina,Corbett,Patrina_Corbett###FUS,39,Mica Creek
2038,Erica,Butler,Erica_Butler###QPE,51,Port Coquitlam
2039,Ann,Walker,Ann_Walker###IKX,39,Fulford Harbour
2040,Paul,Koehn,Paul_Koehn###RNT,21,Fort St John
2041,Edward,Marvin,Edward_Marvin###PJI,53,Cranbrook
2042,Mckinley,Soto,Mckinley_Soto###WQL,41,Haney
2043,Linda,Seals,Linda_Seals###NSV,54,Vancouver
2044,Bernard,Kurtz,Bernard_Kurtz###JWU,48,Vancouver
2045,Cynthia,Cross,Cynthia_Cross###STM,52,Abbotsford
2046,John,Galvan,John_Galvan###AOO,55,Surrey
2047,Carmen,Cordova,Carmen_Cordova###FAL,49,Vancouver
2048,Tyrone,Monroe,Tyrone_Monroe###JYQ,47,Vancouver
2049,Julie,Rosales,Julie_Rosales###NXS,20,Duncan
2050,Tamara,Crow,Tamara_Crow###OYE,39,Vancouver
2051,Myrna,Maier,Myrna_Maier###JYF,64,Vancouver
2052,Ashley,Trotta,Ashley_Trotta###QER,29,Duncan
2053,Jerry,Laury,Jerry_Laury###IIG,49,Yarrow
2054,Richard,Greenberg,Richard_Greenberg###PMI,41,New Westminister
2055,Stephen,Mulligan,Stephen_Mulligan###YCB,28,Midway
2056,Robert,Ferris,Robert_Ferris###JNL,59,Sorrento
2057,Billie,Carter,Billie_Carter###MJP,32,Nanaimo
2058,Tracy,Wood,Tracy_Wood###VOT,25,Vancouver
2059,Paul,Spigner,Paul_Spigner###SVO,31,Langley
2060,Robert,Yarbrough,Robert_Yarbrough###KMJ,50,Vancouver
2061,Steven,Lafever,Steven_Lafever###EMP,37,New Westminster
2062,Meghan,Gonzalez,Meghan_Gonzalez###PWN,43,Burnaby
2063,Sharon,Cox,Sharon_Cox###MSE,51,Victoria
2064,Deborah,Mitchell,Deborah_Mitchell###EKU,35,Burnaby
2065,Ruthie,Brown,Ruthie_Brown###LNA,22,Comox
2066,Lucia,West,Lucia_West###KQI,44,Vancouver
2067,Corey,Ballou,Corey_Ballou###GVX,30,Rock Creek
2068,Richard,Clark,Richard_Clark###FWD,38,Vancouver
2069,Barbara,Howard,Barbara_Howard###YGO,29,Mica Creek
2070,Lamont,Logsdon,Lamont_Logsdon###IVD,38,Vancouver
2071,Joyce,Franklin,Joyce_Franklin###WBI,42,Prince George
2072,Tom,Shetler,Tom_Shetler###HMP,53,Vancouver
2073,Gilda,Ross,Gilda_Ross###GWX,33,Burnaby
2074,Norman,Bedard,Norman_Bedard###OML,57,Mission
2075,Cathy,Bennett,Cathy_Bennett###DGV,32,Vancouver
2076,Betty,Ng,Betty_Ng###NTV,40,Langley
2077,Gloria,Surrett,Gloria_Surrett###EGO,50,Vancouver
2078,Stephanie,Hernandez,Stephanie_Hernandez###TSN,60,Vancouver
2079,Bryant,Brown,Bryant_Brown###QYN,29,Peachland
2080,Angelica,Wallach,Angelica_Wallach###FMH,39,Castlegar
2081,Karen,Elrod,Karen_Elrod###KND,59,Victoria
2082,Douglas,Mosher,Douglas_Mosher###ECK,24,Westbank
2083,Kennith,Coto,Kennith_Coto###NJA,43,Fernie
2084,Tricia,Pendergast,Tricia_Pendergast###MNU,55,Victoria
2085,Sammy,Stange,Sammy_Stange###POS,31,Vernon
2086,Eunice,Smothers,Eunice_Smothers###NCG,47,Whistler
2087,Evelyn,Myers,Evelyn_Myers###CAH,42,Pouce Coupe
2088,Paul,Orr,Paul_Orr###HFO,40,Rosedale
2089,Richard,Hernandez,Richard_Hernandez###OKK,45,Port Alberni
2090,Kenneth,Pendergrass,Kenneth_Pendergrass###DWJ,41,Bougie Creek
2091,Shirley,Griggs,Shirley_Griggs###HVX,31,New Westminster
2092,Stephen,Anderson,Stephen_Anderson###RVS,51,Kelowna
2093,Alvin,Lindsey,Alvin_Lindsey###NUX,41,Port Coquitlam
2094,Mable,Woodard,Mable_Woodard###HPM,44,New Westminster
2095,Betty,Eisenhower,Betty_Eisenhower###MII,40,Vancouver
2096,Lori,Thrash,Lori_Thrash###DVE,43,Vancouver
2097,Jon,Hughes,Jon_Hughes###FCK,23,Vancouver
2098,David,Aoki,David_Aoki###XBC,32,Williams Lake
2099,Loren,Griffith,Loren_Griffith###CHW,41,Bridge Lake
2100,Catherine,Cabe,Catherine_Cabe###UQG,46,Sparwood
2101,Michael,Gonzales,Michael_Gonzales###VAW,39,Willow Point
2102,Teri,Kolb,Teri_Kolb###YRO,33,Vernon
2103,Eric,Brown,Eric_Brown###HHB,29,White Rock
2104,Lindsey,Nieto,Lindsey_Nieto###CTW,31,Aldergrove
2105,Janet,Kang,Janet_Kang###ERP,36,Vancouver
2106,Concepcion,Atkinson,Concepcion_Atkinson###QRV,30,Willow Point
2107,Jessica,Bridges,Jessica_Bridges###GWC,39,Burnaby
2108,Sandra,Cummings,Sandra_Cummings###BIT,35,Vancouver
2109,Royce,Gainer,Royce_Gainer###PSR,34,Lake Cowichan
2110,William,Johnson,William_Johnson###HUC,44,Vancouver
2111,Michel,Harris,Michel_Harris###JGF,36,Vancouver
2112,Krystina,Price,Krystina_Price###AJQ,49,Sechelt
2113,Gail,Cross,Gail_Cross###PLW,42,Nanaimo
2114,Donna,Conner,Donna_Conner###XNO,42,North Vancouver
2115,Robert,Bishop,Robert_Bishop###JQX,50,Vancouver
2116,Suzanne,Rehkop,Suzanne_Rehkop###XFJ,39,Whistler
2117,Ignacio,Fleming,Ignacio_Fleming###ONH,44,Beaver Valley
2118,Emma,Hernandez,Emma_Hernandez###GFD,61,Vavenby
2119,Edna,Braxton,Edna_Braxton###QVA,45,Revelstoke
2120,Don,Allen,Don_Allen###PJD,52,Nelson
2121,Adam,Martin,Adam_Martin###NKV,38,Victoria
2122,Nicholas,Spencer,Nicholas_Spencer###CJN,52,Vancouver
2123,Mary,Cox,Mary_Cox###LAA,35,New Westminster
2124,Linda,Williams,Linda_Williams###BKD,33,Langley
2125,James,Herrera,James_Herrera###GLO,38,Burnaby
2126,Rafael,Fulgham,Rafael_Fulgham###GHM,57,Tatla Lake
2127,Michelle,Middleton,Michelle_Middleton###VTF,48,Fulford Harbour
2128,John,Jenkins,John_Jenkins###PGS,45,Vancouver
2129,James,Luna,James_Luna###YRL,48,Prince George
2130,Steven,Martinez,Steven_Martinez###VCI,59,Burnaby
2131,Betty,Grissom,Betty_Grissom###GEQ,44,New Westminster
2132,Davida,Cox,Davida_Cox###BFA,39,Courtenay
2133,Frank,Barnes,Frank_Barnes###EBG,45,Vancouver
2134,Jose,Tovar,Jose_Tovar###TNR,70,Vancouver
2135,Michael,London,Michael_London###QRV,43,Vancouver
2136,Amanda,Malley,Amanda_Malley###HOK,41,Fort St James
2137,Roberta,Hoskins,Roberta_Hoskins###DOQ,60,New Westminster
2138,David,Chacon,David_Chacon###CJX,43,Vancouver
2139,Mary,Gadsden,Mary_Gadsden###XHO,16,Fulford Harbour
2140,Yvette,Hyman,Yvette_Hyman###HPG,39,Pitt Meadows
2141,Sharon,Thorson,Sharon_Thorson###SMC,61,Cobble Hill
2142,Joseph,August,Joseph_August###JDK,34,Enderby
2143,Peter,Bigler,Peter_Bigler###POW,37,Nanaimo
2144,Samuel,Depriest,Samuel_Depriest###EML,24,Vancouver
2145,Jonathan,Delacruz,Jonathan_Delacruz###KJK,42,Burnaby
2146,Brian,Peterson,Brian_Peterson###MVJ,40,Vancouver
2147,Donna,Lewis,Donna_Lewis###XIT,46,Port Coquitlam
2148,Weldon,Moss,Weldon_Moss###MYI,53,Victoria
2149,Ruth,Jason,Ruth_Jason###PTP,56,Burnaby
2150,Joshua,Baumeister,Joshua_Baumeister###WOE,56,Dawson Creek
2151,Perry,Durkee,Perry_Durkee###MTB,40,Prince George
2152,Lloyd,Brown,Lloyd_Brown###NWB,32,Vancouver
2153,Phil,Stevenson,Phil_Stevenson###YPT,39,Nanaimo
2154,Robin,Lynch,Robin_Lynch###QOD,45,Surrey
2155,Marianna,Eubanks,Marianna_Eubanks###NCB,29,Vanderhoof
2156,Shaun,Wilson,Shaun_Wilson###OHD,51,Kelowna
2157,Sara,Cleveland,Sara_Cleveland###RWS,25,Victoria
2158,Martin,Johnson,Martin_Johnson###XJN,40,Clinton
2159,Stefanie,Simmons,Stefanie_Simmons###FSL,35,New Westminster
2160,William,Dang,William_Dang###JWA,44,Huntingdon
2161,Kevin,Bowen,Kevin_Bowen###BIV,28,Beaver Valley
2162,Stephen,May,Stephen_May###EWH,46,Richmond
2163,Randy,Danner,Randy_Danner###KMN,49,Victoria
2164,John,Chambers,John_Chambers###EXD,50,Winfield
2165,Richard,Cordes,Richard_Cordes###TJE,36,Kitimat
2166,Marion,Crump,Marion_Crump###TBA,40,New Westminster
2167,Karen,McCabe,Karen_McCabe###SNY,30,Vernon
2168,William,Childress,William_Childress###RTA,29,Vancouver
2169,Cynthia,Reuter,Cynthia_Reuter###OYT,36,Qualicum Beach
2170,John,Murphy,John_Murphy###PBS,32,Vancouver
2171,Keith,Lightle,Keith_Lightle###DSF,47,Vancouver
2172,Jeanette,Rodriguez,Jeanette_Rodriguez###PEC,43,Gibsons
2173,Paul,Tilley,Paul_Tilley###LVJ,42,Burnaby
2174,Johnie,Schneider,Johnie_Schneider###PXG,44,Langley
2175,Christopher,Kornegay,Christopher_Kornegay###YMH,41,Vancouver
2176,Emma,Woodward,Emma_Woodward###KOM,36,Victoria
2177,Paul,Krout,Paul_Krout###PMQ,53,Burnaby
2178,Barbara,Krause,Barbara_Krause###PFN,47,Prince George
2179,Pearl,Elmore,Pearl_Elmore###UTA,46,Langley
2180,Clifton,Liu,Clifton_Liu###XWX,46,Chetwynd
2181,Earl,Ferguson,Earl_Ferguson###CNO,46,Nanaimo
2182,Andrew,Taylor,Andrew_Taylor###CVU,47,Summerland
2183,Judy,Pitman,Judy_Pitman###WCC,38,Victoria
2184,Robert,McCraw,Robert_McCraw###EOS,28,Vancouver
2185,Louis,Cox,Louis_Cox###PSJ,42,Vancouver
2186,Daniel,Arnett,Daniel_Arnett###YOP,44,Kamloops
2187,Steven,Wood,Steven_Wood###CWB,40,Richmond
2188,Priscilla,Smith,Priscilla_Smith###IRP,47,Victoria
2189,Callie,Trahan,Callie_Trahan###EOS,31,Enderby
2190,Robert,Sloan,Robert_Sloan###OCQ,39,Trail
2191,Terry,Stone,Terry_Stone###BDR,50,New Westminster
2192,Stephen,Drake,Stephen_Drake###WDX,46,Vancouver
2193,Edmund,Senn,Edmund_Senn###DYI,42,New Westminster
2194,Claudia,Poole,Claudia_Poole###ABO,35,Chilliwack
2195,Alice,Johnson,Alice_Johnson###UFB,37,Hope
2196,Cecil,Carr,Cecil_Carr###YWV,42,Victoria
2197,Kathy,Segovia,Kathy_Segovia###YDA,46,Courtenay
2198,Michael,Strauss,Michael_Strauss###LBW,67,Terrace
2199,Norman,Penton,Norman_Penton###UQD,55,Squamish
2200,Van,Buscher,Van_Buscher###CEV,44,Vancouver
2201,Barbra,Bourbeau,Barbra_Bourbeau###CDE,45,Hope
2202,Blanche,Durocher,Blanche_Durocher###AJS,25,Coquitlam
2203,Gail,Ruiz,Gail_Ruiz###ESG,41,Vancouver
2204,Pamela,Gillispie,Pamela_Gillispie###BNJ,42,Vancouver
2205,Florine,Wells,Florine_Wells###WJO,50,Vancouver
2206,Gary,Krause,Gary_Krause###CCL,37,Penticton
2207,Martha,Stump,Martha_Stump###HFV,65,Vancouver
2208,Lynn,Kennedy,Lynn_Kennedy###WFJ,33,Vancouver
2209,Lindsey,Brinson,Lindsey_Brinson###TYI,50,Vernon
2210,Herman,Gwynn,Herman_Gwynn###TFD,32,Kelowna
2211,Clara,Thomas,Clara_Thomas###RIY,29,Victoria
2212,Laura,Isaacs,Laura_Isaacs###RAQ,49,Vancouver
2213,Christina,Berry,Christina_Berry###BHH,51,Vancouver
2214,Lizabeth,Lemon,Lizabeth_Lemon###MKK,60,Prince George
2215,Jasmine,Maxwell,Jasmine_Maxwell###OUL,45,Vancouver
2216,Kevin,Crow,Kevin_Crow###KOQ,39,Burnaby
2217,Anna,Knight,Anna_Knight###XEW,60,Victoria
2218,Melinda,Langford,Melinda_Langford###UFR,47,Vancouver
2219,Julia,Bunch,Julia_Bunch###SXV,49,Vernon
2220,Richard,Atchison,Richard_Atchison###CVP,37,Victoria
2221,Melanie,McMurray,Melanie_McMurray###MRN,36,Vancouver
2222,Winfred,Johnson,Winfred_Johnson###NQL,38,Vancouver
2223,Lillian,Flores,Lillian_Flores###RCX,45,Victoria
2224,Louis,Galvan,Louis_Galvan###GSC,42,Tofino
2225,Harry,Armstrong,Harry_Armstrong###NRW,69,New Westminster
2226,Julio,Barnes,Julio_Barnes###DKM,46,Vancouver
2227,Thomas,McClain,Thomas_McClain###DFT,31,Fort St John
2228,Douglas,Dobbins,Douglas_Dobbins###VAO,32,Grasmere
2229,Lewis,Rojo,Lewis_Rojo###LJO,50,Vancouver
2230,Kyle,Johnson,Kyle_Johnson###VFN,40,Victoria
2231,William,Jennings,William_Jennings###DCX,39,Vancouver
2232,Brenda,Velez,Brenda_Velez###XAK,35,Manning Park
2233,Mary,Petty,Mary_Petty###OXL,64,New Westminster
2234,Teresa,Flickinger,Teresa_Flickinger###TSQ,36,Victoria
2235,Tina,Smith,Tina_Smith###OAQ,52,Vancouver
2236,Mack,Pringle,Mack_Pringle###MGY,39,Victoria
2237,Lynn,Pennington,Lynn_Pennington###SVI,28,Richmond
2238,James,Hansen,James_Hansen###OOQ,29,Chilliwack
2239,Sylvia,Patten,Sylvia_Patten###ESQ,45,Kitimat
2240,Amy,Gravelle,Amy_Gravelle###YVN,22,Comox
2241,Jennifer,North,Jennifer_North###QPX,60,Chilliwack
2242,William,Castro,William_Castro###ARU,41,Sardis
2243,Rosalyn,Grote,Rosalyn_Grote###EGX,46,Tofino
2244,Michael,Desmarais,Michael_Desmarais###WLA,25,Sorrento
2245,Charles,Price,Charles_Price###QXI,58,Richmond
2246,William,Jaynes,William_Jaynes###JVW,39,Vancouver
2247,Judy,Diaz,Judy_Diaz###KDP,13,Nakusp
2248,Robert,Miller,Robert_Miller###LAT,38,Nanaimo
2249,Bess,Hazelwood,Bess_Hazelwood###VBN,48,Vancouver
2250,Alexandra,Davidson,Alexandra_Davidson###HUF,55,Vancouver
2251,Elvin,Risch,Elvin_Risch###SUO,51,Victoria
2252,Kathleen,Neely,Kathleen_Neely###IEO,45,Vancouver
2253,Adam,Weir,Adam_Weir###MLQ,48,Fernie
2254,Susan,Wasinger,Susan_Wasinger###WCM,26,Wildwood
2255,Dennis,Campbell,Dennis_Campbell###POM,52,West Vancouver
2256,Margaret,Gaudreau,Margaret_Gaudreau###KSH,28,Richmond
2257,Annie,Valadez,Annie_Valadez###NCR,38,Vancouver
2258,Manuela,Dibble,Manuela_Dibble###TCK,39,Kamloops
2259,Delia,Fleischer,Delia_Fleischer###LOB,36,Burnaby
2260,Linda,Monk,Linda_Monk###DPO,33,Port Hardy
2261,Charlotte,Gonzales,Charlotte_Gonzales###SSG,48,Prince George
2262,Christopher,Thompson,Christopher_Thompson###OBP,62,Victoria
2263,Jennifer,Johnson,Jennifer_Johnson###NVW,43,Victoria
2264,Lorraine,Clark,Lorraine_Clark###HFD,42,Sidney
2265,Susan,Randolph,Susan_Randolph###BLT,32,Nanaimo
2266,Jennifer,Taylor,Jennifer_Taylor###NWA,50,North Vancouver
2267,Frank,Gardner,Frank_Gardner###MTW,52,Campbell River
2268,Minnie,Tucker,Minnie_Tucker###IEY,33,New Westminster
2269,Lisa,Weisz,Lisa_Weisz###LGH,41,Port Coquitlam
2270,Andrew,Robinson,Andrew_Robinson###BQX,42,Victoria
2271,Maude,Cook,Maude_Cook###LGS,29,Victoria
2272,Bonnie,William,Bonnie_William###SGN,35,Surrey
2273,Brittany,Michie,Brittany_Michie###JOQ,44,Vancouver
2274,Helen,Jones,Helen_Jones###FRA,46,Burnaby
2275,Melanie,Leon,Melanie_Leon###VHO,39,Ganges
2276,Theresa,Cole,Theresa_Cole###HXO,38,Vancouver
2277,Benjamin,Curtis,Benjamin_Curtis###JJS,49,Black Point
2278,Ruth,Olmo,Ruth_Olmo###WEW,42,Courtenay
2279,Velma,Williams,Velma_Williams###RHA,44,Pender Harbour
2280,Emanuel,Klass,Emanuel_Klass###EOG,56,New Westminster
2281,Emma,Markel,Emma_Markel###CJM,59,Chilliwack
2282,Vivian,Jimenez,Vivian_Jimenez###RGK,34,Nanaimo
2283,Carrie,Flores,Carrie_Flores###EAS,40,Nanaimo
2284,Edward,Johnson,Edward_Johnson###PXJ,26,Topley
2285,Dorothy,Frechette,Dorothy_Frechette###PYL,48,Richmond
2286,Claire,Beck,Claire_Beck###CQK,49,New Westminster
2287,Tracey,Terrazas,Tracey_Terrazas###KET,38,Fort St John
2288,Carlos,Dent,Carlos_Dent###FYD,46,Vancouver
2289,Willie,Torres,Willie_Torres###IDO,33,Victoria
2290,Ernestine,Record,Ernestine_Record###QWH,25,Houston
2291,Kristen,Pagan,Kristen_Pagan###IQJ,46,Hansard
2292,Beulah,Bonk,Beulah_Bonk###ABJ,39,Vancouver
2293,Jeanette,Allen,Jeanette_Allen###DUM,37,Vancouver
2294,Marcus,Barnett,Marcus_Barnett###FLP,33,Vancouver
2295,Jane,Hollier,Jane_Hollier###MCU,41,Victoria
2296,Marian,Sparacino,Marian_Sparacino###MXY,56,Salmon Valley
2297,Callie,Martinez,Callie_Martinez###OHK,46,Port Coquitlam
2298,Barbara,Gragg,Barbara_Gragg###WFF,50,Burnaby
2299,Stanley,Santos,Stanley_Santos###UJR,38,Victoria
2300,Robert,White,Robert_White###AEJ,36,Victoria
2301,Hubert,Leflore,Hubert_Leflore###HSK,55,Vancouver
2302,Lisa,Andrews,Lisa_Andrews###TFO,27,Nelson
2303,Winnie,Weatherspoon,Winnie_Weatherspoon###BXP,41,New Westminster
2304,Eunice,Carson,Eunice_Carson###GYB,36,Vernon
2305,Charles,Lambert,Charles_Lambert###NLB,43,Vancouver
2306,Lon,Berg,Lon_Berg###UIX,55,Ashcroft
2307,Alan,Cabral,Alan_Cabral###DBH,27,Fort Langley
2308,William,Brown,William_Brown###VRT,56,Vancouver
2309,Robert,Cueva,Robert_Cueva###RAN,47,Richmond
2310,Jackson,Bigelow,Jackson_Bigelow###GQF,30,New Westminster
2311,Walter,Renner,Walter_Renner###DFI,46,Iskut
2312,Rhonda,Lemley,Rhonda_Lemley###VOP,48,Campbell River
2313,William,Corley,William_Corley###JHN,56,Victoria
2314,Maria,Smith,Maria_Smith###EIN,42,New Westminster
2315,Harriet,Raglin,Harriet_Raglin###NNL,50,Victoria
2316,Robert,Jenkins,Robert_Jenkins###MCF,63,Salmon Arm
2317,Melissa,Thomas,Melissa_Thomas###LDD,46,Williams Lake
2318,Andrew,Adamson,Andrew_Adamson###ERO,32,Vancouver
2319,Christine,Kirkman,Christine_Kirkman###ARG,33,Aldergrove
2320,James,Melendez,James_Melendez###PEM,29,New Westminster
2321,Samuel,Smith,Samuel_Smith###NAF,54,Salmon Arm
2322,Anya,Woods,Anya_Woods###YSH,42,Vancouver
2323,Otis,Harrelson,Otis_Harrelson###AJY,16,Vernon
2324,Johnathan,White,Johnathan_White###VUS,36,New Westminster
2325,Doris,King,Doris_King###WKL,54,Valemount
2326,Andrew,Smith,Andrew_Smith###EJM,37,Radium Hot Springs
2327,Terry,Franklin,Terry_Franklin###MSU,25,Mica Creek
2328,Stanley,Bateman,Stanley_Bateman###YFH,43,Vallican
2329,Lita,Brown,Lita_Brown###LTF,38,Kaslo
2330,Ronald,Button,Ronald_Button###SKF,24,Vancouver
2331,Frances,Pirkle,Frances_Pirkle###HDJ,33,New Westminster
2332,Miriam,Lacroix,Miriam_Lacroix###SKT,46,Hemlock Valley
2333,Darrel,Hess,Darrel_Hess###DXX,32,Nanaimo
2334,Irene,Cotton,Irene_Cotton###RMK,33,North Vancouver
2335,Edward,Miller,Edward_Miller###VQK,32,Surrey
2336,Frank,Hale,Frank_Hale###AKH,25,Surrey
2337,Francine,Richardson,Francine_Richardson###PYR,43,New Westminster
2338,Don,Brown,Don_Brown###ASM,44,New Westminster
2339,Edna,Mancini,Edna_Mancini###EAP,16,Peachland
2340,James,Owens,James_Owens###XEV,50,Langley
2341,William,Parham,William_Parham###JHP,38,Prince George
2342,Amy,Goss,Amy_Goss###QIW,53,Port Alberni
2343,Timothy,Goldberg,Timothy_Goldberg###DVV,33,Sayward
2344,Alisha,Fischer,Alisha_Fischer###YWL,42,Kelowna
2345,Michael,Blackwell,Michael_Blackwell###KBI,53,Revelstoke
2346,Adrian,Childs,Adrian_Childs###SON,42,Vancouver
2347,Kenneth,Rider,Kenneth_Rider###ETQ,52,Vancouver
2348,Dana,Barnett,Dana_Barnett###CQH,35,Kitwanga
2349,Joyce,Porter,Joyce_Porter###FIR,44,Surrey
2350,Marjorie,Dix,Marjorie_Dix###KIY,45,Port Coquitlam
2351,Cheryl,Ramirez,Cheryl_Ramirez###QGU,43,Burnaby
2352,Kim,Leiva,Kim_Leiva###XDV,52,Victoria
2353,Michael,Eudy,Michael_Eudy###JXQ,37,Lower Post
2354,Anita,Gutierrez,Anita_Gutierrez###POX,31,Nanaimo
2355,Carolyn,Thomas,Carolyn_Thomas###BYR,43,Sidney
2356,Lorenzo,Naranjo,Lorenzo_Naranjo###FMO,38,Victoria
2357,Sandra,Johnson,Sandra_Johnson###VPT,19,North Pender Island
